-33.6007,-178.6072,346.5095,-145.1823,14.8266,106.7354
2.8172,-201.3645,338.7313,-143.941,13.1163,106.1707
22.6083,-215.4726,326.7456,-146.5454,12.1448,100.0062
40.5197,-256.1617,314.2027,-147.6903,15.2965,94.0835
17.9345,-273.0784,312.2226,-153.8545,16.9006,82.5299
6.7503,-285.5481,307.537,-154.5559,17.6164,78.3429
-2.7187,-301.6289,290.1031,-156.3204,15.6874,72.2618
0.2604,-199.4218,336.3415,-155.6953,15.2443,89.0266
0.4407,-199.0169,336.0887,-155.7801,15.0766,88.9965
-28.6141,-169.4379,347.2713,-161.0666,20.0136,84.2326
-20.6952,-184.3411,345.2201,-149.4115,3.0017,119.9977
-28.8523,-177.5952,338.7573,-147.997,-5.0361,125.415
-33.4833,-177.6202,338.7251,-147.2212,-9.9882,131.4901
-38.0123,-177.3577,338.6283,-146.8372,-14.2952,136.0972
-42.5408,-175.9272,337.9328,-146.4648,-17.2414,138.0194
-44.8625,-174.2759,337.0377,-147.922,-21.2012,142.7228
